,emotion_tags,social_tags
Unreleased Songs,"[('winter', 29), ('must-listen', 5), ('pop art', 40), ('autumnsongs', 3), ('sing along with me', 9), ('aterciopelados - no necesito', 95), ('cow', 50), ('immediatly grabbed my attention', 12), ('makes me a jolly little boy', 52), ('atlantic starr love crazy', 72)]","[('almost dissonant guitar', 66), ('soulrnb', 79), ('listen reaaaaally loud', 77), ('leccaciuffi', 93), ('amazingness', 9), ('to remember forever', 64), ('maar niet zo mooi als 2007', 9), ('drag queen', 65), ('philly local', 12), ('head-boppin', 42)]"
Unreleased Songs,"[('winter', 85), ('must-listen', 20), ('pop art', 10), ('autumnsongs', 73), ('sing along with me', 10), ('aterciopelados - no necesito', 62), ('cow', 6), ('immediatly grabbed my attention', 31), ('makes me a jolly little boy', 43), ('atlantic starr love crazy', 97)]","[('almost dissonant guitar', 23), ('soulrnb', 15), ('listen reaaaaally loud', 84), ('leccaciuffi', 91), ('amazingness', 45), ('to remember forever', 4), ('maar niet zo mooi als 2007', 35), ('drag queen', 88), ('philly local', 56), ('head-boppin', 47)]"
Unreleased Songs,"[('winter', 95), ('must-listen', 60), ('pop art', 38), ('autumnsongs', 82), ('sing along with me', 20), ('aterciopelados - no necesito', 87), ('cow', 11), ('immediatly grabbed my attention', 40), ('makes me a jolly little boy', 54), ('atlantic starr love crazy', 70)]","[('almost dissonant guitar', 53), ('soulrnb', 39), ('listen reaaaaally loud', 6), ('leccaciuffi', 68), ('amazingness', 70), ('to remember forever', 21), ('maar niet zo mooi als 2007', 12), ('drag queen', 62), ('philly local', 44), ('head-boppin', 50)]"
Speak Now: World Tour Live (Deluxe),"[('winter', 27), ('must-listen', 62), ('pop art', 70), ('autumnsongs', 51), ('sing along with me', 62), ('aterciopelados - no necesito', 52), ('cow', 86), ('immediatly grabbed my attention', 29), ('makes me a jolly little boy', 10), ('atlantic starr love crazy', 2)]","[('almost dissonant guitar', 80), ('soulrnb', 47), ('listen reaaaaally loud', 5), ('leccaciuffi', 32), ('amazingness', 56), ('to remember forever', 55), ('maar niet zo mooi als 2007', 72), ('drag queen', 74), ('philly local', 5), ('head-boppin', 99)]"
"thank u, next","[('winter', 59), ('must-listen', 56), ('pop art', 82), ('autumnsongs', 21), ('sing along with me', 75), ('aterciopelados - no necesito', 15), ('cow', 22), ('immediatly grabbed my attention', 78), ('makes me a jolly little boy', 70), ('atlantic starr love crazy', 65)]","[('almost dissonant guitar', 66), ('soulrnb', 53), ('listen reaaaaally loud', 100), ('leccaciuffi', 36), ('amazingness', 95), ('to remember forever', 89), ('maar niet zo mooi als 2007', 50), ('drag queen', 76), ('philly local', 75), ('head-boppin', 70)]"
Sweetener,"[('winter', 84), ('must-listen', 49), ('pop art', 47), ('autumnsongs', 79), ('sing along with me', 60), ('aterciopelados - no necesito', 48), ('cow', 6), ('immediatly grabbed my attention', 3), ('makes me a jolly little boy', 42), ('atlantic starr love crazy', 39)]","[('almost dissonant guitar', 4), ('soulrnb', 45), ('listen reaaaaally loud', 42), ('leccaciuffi', 31), ('amazingness', 46), ('to remember forever', 82), ('maar niet zo mooi als 2007', 29), ('drag queen', 19), ('philly local', 31), ('head-boppin', 40)]"
Dangerous Woman,"[('winter', 12), ('must-listen', 64), ('pop art', 94), ('autumnsongs', 92), ('sing along with me', 28), ('aterciopelados - no necesito', 40), ('cow', 71), ('immediatly grabbed my attention', 45), ('makes me a jolly little boy', 64), ('atlantic starr love crazy', 45)]","[('almost dissonant guitar', 53), ('soulrnb', 1), ('listen reaaaaally loud', 20), ('leccaciuffi', 58), ('amazingness', 70), ('to remember forever', 36), ('maar niet zo mooi als 2007', 46), ('drag queen', 20), ('philly local', 5), ('head-boppin', 31)]"
Yours Truly,"[('winter', 16), ('must-listen', 44), ('pop art', 95), ('autumnsongs', 63), ('sing along with me', 57), ('aterciopelados - no necesito', 59), ('cow', 79), ('immediatly grabbed my attention', 24), ('makes me a jolly little boy', 30), ('atlantic starr love crazy', 18)]","[('almost dissonant guitar', 33), ('soulrnb', 81), ('listen reaaaaally loud', 2), ('leccaciuffi', 99), ('amazingness', 55), ('to remember forever', 34), ('maar niet zo mooi als 2007', 79), ('drag queen', 64), ('philly local', 16), ('head-boppin', 96)]"
​k bye for now (swt live),"[('winter', 39), ('must-listen', 8), ('pop art', 14), ('autumnsongs', 91), ('sing along with me', 14), ('aterciopelados - no necesito', 15), ('cow', 51), ('immediatly grabbed my attention', 86), ('makes me a jolly little boy', 39), ('atlantic starr love crazy', 44)]","[('almost dissonant guitar', 79), ('soulrnb', 11), ('listen reaaaaally loud', 93), ('leccaciuffi', 70), ('amazingness', 33), ('to remember forever', 87), ('maar niet zo mooi als 2007', 27), ('drag queen', 98), ('philly local', 83), ('head-boppin', 35)]"
Unreleased Songs,"[('winter', 61), ('must-listen', 46), ('pop art', 85), ('autumnsongs', 36), ('sing along with me', 73), ('aterciopelados - no necesito', 67), ('cow', 68), ('immediatly grabbed my attention', 66), ('makes me a jolly little boy', 97), ('atlantic starr love crazy', 65)]","[('almost dissonant guitar', 5), ('soulrnb', 7), ('listen reaaaaally loud', 6), ('leccaciuffi', 70), ('amazingness', 1), ('to remember forever', 75), ('maar niet zo mooi als 2007', 76), ('drag queen', 84), ('philly local', 64), ('head-boppin', 86)]"
​k bye for now (swt live),"[('winter', 85), ('must-listen', 75), ('pop art', 19), ('autumnsongs', 84), ('sing along with me', 34), ('aterciopelados - no necesito', 92), ('cow', 50), ('immediatly grabbed my attention', 14), ('makes me a jolly little boy', 93), ('atlantic starr love crazy', 93)]","[('almost dissonant guitar', 55), ('soulrnb', 60), ('listen reaaaaally loud', 86), ('leccaciuffi', 54), ('amazingness', 54), ('to remember forever', 65), ('maar niet zo mooi als 2007', 51), ('drag queen', 34), ('philly local', 91), ('head-boppin', 20)]"
The Remix,"[('winter', 30), ('must-listen', 32), ('pop art', 63), ('autumnsongs', 61), ('sing along with me', 65), ('aterciopelados - no necesito', 92), ('cow', 58), ('immediatly grabbed my attention', 86), ('makes me a jolly little boy', 38), ('atlantic starr love crazy', 59)]","[('almost dissonant guitar', 58), ('soulrnb', 13), ('listen reaaaaally loud', 72), ('leccaciuffi', 77), ('amazingness', 58), ('to remember forever', 98), ('maar niet zo mooi als 2007', 25), ('drag queen', 31), ('philly local', 5), ('head-boppin', 18)]"
Remixes by DJ Siembab,"[('winter', 18), ('must-listen', 48), ('pop art', 71), ('autumnsongs', 8), ('sing along with me', 63), ('aterciopelados - no necesito', 43), ('cow', 64), ('immediatly grabbed my attention', 76), ('makes me a jolly little boy', 67), ('atlantic starr love crazy', 21)]","[('almost dissonant guitar', 89), ('soulrnb', 66), ('listen reaaaaally loud', 47), ('leccaciuffi', 77), ('amazingness', 51), ('to remember forever', 64), ('maar niet zo mooi als 2007', 64), ('drag queen', 69), ('philly local', 56), ('head-boppin', 22)]"
Homesick,nan,"[('post-hardcore', 100), ('hardcore', 50), ('screamo', 37), ('alternative', 28), ('a day to remember', 21), ('metalcore', 12), ('breakdown', 12), ('awesome', 9), ('fucking amazing', 9), ('disrepect your surrounding', 6), ('abartig geiler breakdown', 6), ('epic win', 6), ('wake up', 6), ('emo', 6), ('amazing', 6), ('thinking about the end', 3), ('mr highway', 3), ('melodic death metal', 3), ('omg xbreakdownx', 3), ('awesome clean', 3), ('moshkrieg', 3), ('awsome breakdonw', 3), ('best song all time', 3), ('zajebiste kurwa', 3), ('garry', 3), ('fatality', 3), ('punk rock', 3), ('post- hardcore', 3), ('heard live', 3), ('favorites', 3), ('epic', 3), ('sick', 3), ('melodic hardcore', 3), ('perfect', 3), ('seen live', 0)]"
A Flock Of Seagulls,"[('party', 1)]","[('80s', 100), ('new wave', 68), ('synthpop', 30), ('pop', 19), ('new romantic', 17), ('synth pop', 11), ('electronic', 9), ('flock of seagulls', 5), ('rock', 5), ('british', 5), ('dance', 4), ('electronica', 3), ('a flock of seagulls', 3), ('80s new wave', 3), ('gta vice city', 3), ('gta', 2), ('1980s', 2), ('1982', 2), ('80s pop', 2), (""80's"", 2), ('synth', 2), ('loved', 2), ('single', 2), ('vice city', 2), ('male vocalist', 2), ('grand theft auto', 2), ('guitar hero', 2), ('grand theft auto: vice city soundtrack', 1), ('electro', 1), ('gtavc tracks', 1), ('i ran', 1), ('wave 103', 1), ('beelloved', 1), ('national anthem of iran', 1), ('all time favourites', 1), ('orchestral manouvres in the dark', 1), ('dance pop', 1), ('an electric guitar solo', 1), ('prominent use of synth', 1), ('a vocal-centric aesthetic', 1), ('electro pop', 1), ('party', 1), ('minor key tonality', 1), ('the band that played at draculas halloween party', 1), ('electropop', 1), ('poplife', 1), ('songs in current rotation', 0), ('male vocalists', 0), ('guilty pleasure', 0), ('leapsandbounds favorite songs', 0), ('parenthesized titles', 0), ('the focus the fear', 0), ('the slow-mo', 0), ('essentials', 0), ('aurora borealis comes in view', 0), ('gta vc', 0), ('basic rock song structures', 0), ('electric guitar riffs', 0), ('i wish i was partying like it was 1989', 0), ('grand theft auto: vice city', 0), ('rayharel', 0), ('vh-1 classic', 0), ('grand theft auto vice city', 0), ('leapsandfavnolove', 0), ('pop rock', 0), ('soundtrack', 0), ('synth-pop', 0), ('favorites', 0), ('awesome', 0), ('uk', 0), ('good stuff', 0), ('magix', 0), ('songs that should be in rock band', 0), ('catchy', 0), ('alternative', 0), ('oldies', 0), ('cool', 0), ('classics', 0), ('syntpop - mackampackam', 0), ('this brings me memories', 0), ('torquemada', 0), ('punkd', 0), ('pop - mackampackam', 0), ('thompson twins', 0), ('80s party', 0), ('retro fridays', 0), ('top-300', 0), ('werger', 0), ('molonguis', 0), ('m 1', 0), ('tog', 0), ('i want back to the 80s', 0), ('80s retro-synth pop', 0), ('ion b radio', 0), ('british friends', 0), ('best of the 80s mixes 01-03', 0), ('pop and wave', 0), ('enjoy80', 0), ('80s pop and rock', 0), ('cincinnati karaoke', 0)]"
Save This City,nan,"[('hardcore', 100), ('southern rock', 66), ('screamo', 33), ('hardcore-punk', 33)]"
Other Songs,nan,"[('punk', 100), ('street punk', 100), ('heard on pandora', 1)]"
If The Flames Don't Kill Us... We Will,nan,nan
Mer De Noms,"[('sexy', 9), ('dark', 5), ('energetic', 1)]","[('alternative rock', 100), ('progressive rock', 84), ('rock', 75), ('alternative', 60), ('a perfect circle', 52), ('progressive metal', 20), ('metal', 18), ('maynard james keenan', 17), ('hard rock', 13), ('progressive', 12), ('alternative metal', 12), ('tool', 11), ('apc', 10), ('sexy', 9), ('00s', 8), ('industrial', 7), ('favorites', 6), ('beautiful', 6), ('experimental', 6), ('epic', 6), ('awesome', 6), ('magdalena', 6), ('favourites', 5), ('brilliant', 5), ('emotional', 5), ('dark', 5), ('atmospheric', 5), ('silent intensity', 5), ('alt rock', 5), ('powerful', 4), ('maynard', 4), ('favourite songs', 4), ('names', 4), ('american', 4), ('2000s', 3), ('about a girl', 3), ('favorite songs', 3), ('good beat', 3), ('77davez-all-tracks', 3), ('loved', 3), ('love', 3), ('mer de noms', 3), ('male vocalists', 2), ('demanding instrumental part writing', 2), ('an electric guitar solo', 2), ('awesome voice', 2), ('grunge', 2), ('modern rock', 2), ('uplifting', 2), ('q4', 2), ('art rock', 2), ('perfect circle', 2), ('electric guitar riffs', 2), ('minor key tonality', 2), ('songs that totaly rule', 2), ('mild rhythmic syncopation', 2), ('indie rock', 2), ('favourite', 2), ('repetitive melodic phrasing', 2), ('a vocal-centric aesthetic', 2), ('extensive vamping', 2), ('a clear focus on recording studio production', 2), ('psychedelic', 2), ('hard rock roots', 2), ('acordes geniales', 2), ('yeah', 1), ('energetic', 1), ('mellow fury', 1), ('kappe', 1), ('good stuff', 1), ('work music', 1), ('untouchable', 1), ('ear candy', 1), ('pure sex', 1), ('nu metal', 1), ('aitch', 1), ('canteo', 1), ('masterpiece', 1), ('hu', 1), ('the best', 1), ('awesome bass', 1), ('sonic rock', 1), ('2000', 1), ('great song', 1), ('mjk', 1), ('leapsandloved', 1), ('prog rock', 1), ('nu-metal', 1), ('post-rock', 1), ('political', 1), ('heavy metal', 1), ('favorite', 1), ('cool', 1), ('canciones inmortales', 1), ('amazing', 1), ('mcluckys favourites', 1), ('indie', 1), ('classic rock', 1), ('perfekts aplis', 1), ('kappe indi', 1)]"
Three Sixty,"[('dark', 8), ('melancholy', 8), ('sad', 6), ('depressing', 3), ('depressive', 2), ('melancholic', 1), ('mellow', 1), ('calm', 1), ('intense', 0)]","[('cover', 100), ('alternative rock', 60), ('progressive rock', 42), ('covers', 42), ('rock', 40), ('alternative', 24), ('a perfect circle', 15), ('maynard james keenan', 11), ('beautiful', 9), ('dark', 8), ('melancholy', 8), ('progressive', 7), ('john lennon cover', 7), ('political', 7), ('better than the original', 6), ('sad', 6), ('progressive metal', 5), ('tool', 4), ('favorites', 4), ('atmospheric', 4), ('art rock', 4), ('great cover', 3), ('depressing', 3), ('metal', 3), ('haunting', 3), ('imagine', 3), ('00s', 3), ('apc', 3), ('epic', 3), ('john lennon', 2), ('alternative metal', 2), ('emo', 2), ('loved', 2), ('inspiring', 2), ('piano', 2), ('american', 2), ('anti-war', 2), ('slow', 2), ('depressive', 2), ('hard rock', 2), ('alt rock', 2), ('favourites', 1), ('melancholic', 1), ('beatles', 1), ('lennon', 1), ('mellow', 1), ('classic rock', 1), ('favourite', 1), ('indie', 1), ('cover songs', 1), ('beatles cover', 1), ('mjk', 1), ('hopeless', 1), ('emotive', 1), ('industrial', 1), ('awesome', 1), ('deep', 1), ('grunge', 1), ('calm', 1), ('favorite covers', 1), ('awesome covers', 1), ('male vocals', 1), ('h202', 1), ('perfect circle', 1), ('favorite', 1), ('bujamsie', 1), ('sad but true', 1), ('male vocalists', 1), (""00's"", 0), ('2004', 0), ('aitch', 0), ('aitchepic', 0), ('cover song', 0), ('best cover ever', 0), ('out of genre covers', 0), ('good covers', 0), ('kappe indi', 0), ('fav', 0), ('perfect', 0), ('intense', 0), ('perfect circle-imagine', 0), ('metal cover', 0), ('love at first listen', 0), ('interesting', 0), ('beloved', 0), ('my favourits', 0), ('favorite song', 0), ('chills', 0), ('great song', 0), ('kappe', 0), ('best covers', 0), ('sonic rock', 0), ('90s', 0), ('favorite songs', 0), ('favourite songs', 0), ('ciary na plecach', 0), ('amazing cover', 0), ('rock covers', 0), ('rock cover', 0), ('beatles covers', 0)]"
Beat Heart Sweet Stereo,nan,nan
She Watched The Sky,nan,"[('screamo', 100), ('post-hardcore', 94), ('hardcore', 44), ('emo', 38), ('a skylit drive', 38), ('emocore', 33), ('love-it', 16), ('download', 16), ('skylit drive', 5), ('loveeeee it', 5), ('360shift', 5), ('recent fave', 5), ('check out', 5), ('disturbed', 5), ('post-hardore', 5), ('best', 5), ('experimental', 5), ('song', 0), ('favorite songs', 0), ('alternative', 0), ('all star diaries', 0), ('the all star diaries', 0), ('cool', 0), ('marvoltasih', 0)]"
Faso Latido,"[('melancholy', 66)]","[('screamo', 100), ('post-hardcore', 100), ('melancholy', 66), ('emo-screamo', 66), ('static1', 66), ('360shift', 33), ('experimental hardcore screamo', 33), ('deutzia', 0)]"
Rattlesnake!,nan,"[('screamo', 100), ('post-hardcore', 100), ('emocore', 50), ('post hardcore', 50), ('turbohass', 50)]"
The Low End Theory,nan,"[('hip-hop', 100), ('90s', 33), ('rap', 30), ('hip hop', 23), ('american', 10), ('1991', 10), ('new york', 10), ('a tribe called quest', 6), ('best of quest', 6), ('show business', 3), ('rap  hip-hop', 3), ('hip hoprap', 3), ('skeff anselm', 3), ('east coast hip-hop', 3), ('leapsandbounds cdcollection', 3), ('kcrw', 3), ('true school', 3), ('track number six show business is my shit', 3), ('queensbridge', 3), ('business', 3), ('real hip hop', 3), ('old school', 3), ('jam', 3), ('lyrics', 3), ('favorite', 3), ('favourites', 3), ('upbeat', 3), ('jazz hop', 0), ('hiphopgdchill', 0), ('new york city gdchill', 0), ('brand nubian', 0), ('oldskool', 0)]"
"Beats, Rhymes And Life",nan,"[('hip-hop', 100), ('hiphop', 75), ('true hip hop', 75), ('rap', 50), ('90s', 50), ('a tribe called quest', 50), ('indie', 25), ('east coast rap', 25), ('underground hip hop', 25), ('dilla', 25), ('fav0urit3', 25), ('rap  hip-hop', 25), ('true musical hip hop', 25), ('strictly for the undergound', 25), ('leapsandbounds cdcollection', 25)]"
Benefits Of Thinking Out Loud,nan,"[('punk', 100)]"
Imaginary Friends,nan,"[('progressive rock', 100)]"
69,nan,"[('4ad', 100), ('rain songs', 100)]"
Here We Come,nan,"[('a1', 100), ('pop singles', 100)]"
The Best Of,"[('mellow', 16)]","[('pop', 100), ('guilty pleasures', 33), ('shoeoeni', 33), ('ballad', 33), ('uberhot', 33), ('boybands', 33), ('childhood favourites', 33), ('i see what you did there', 16), ('great song ever', 16), ('songs i need', 16), ('golden', 16), ('mellow', 16), ('norway', 16), ('favorites', 16), ('british', 16), ('group', 16), ('orgasmic', 16), ('backstreet boys', 16), ('a1', 0), ('this should have been a hit', 0), ('on my itunes', 0), ('00s', 0), ('pop dance', 0), ('boy bands', 0), ('uk top 40 in 2002', 0), ('altar of the metal gods death metal', 0), ('altar of the metal gods folk metal', 0), ('altar of the metal gods neo-classical metal', 0), ('altar of the metal gods pagan metal', 0), ('altar of the metal gods thrash metal', 0), ('k1998uliker', 0)]"
Another Earthquake!,nan,"[('pop', 100), ('dance', 100), ('1', 100), ('pop dance', 100), ('aaron carter', 100)]"
Living Out Loud,nan,nan
Ultimate Collection,nan,"[('1960s', 100), ('1966', 100), ('blues', 66), ('rock', 33), ('60s', 33), ('male vocalist', 33)]"
Nature Boy: The Standards Album,nan,"[('oldies', 100), ('smooth jazz', 100), ('loved artist', 100), ('aaron neville', 100), ('topbest', 100)]"
The Kindest Days,nan,nan
Tool Box,nan,"[('country', 100), ('good song', 100), ('male country', 100), ('american country', 100)]"
Angels & Outlaws,nan,nan
The Definitive Collection,"[('party', 5), ('happy', 5), ('fun', 3), ('cheerful', 2), ('soft', 0)]","[('pop', 100), ('70s', 65), ('disco', 55), ('abba', 51), ('swedish', 30), ('eurovision', 23), ('dance', 15), ('female vocalists', 15), ('oldies', 12), ('80s', 10), ('rock', 10), ('1974', 10), ('waterloo', 9), ('sweden', 8), ('eurovision winner', 6), ('eurovision song contest', 6), ('party', 5), ('love', 5), ('happy', 5), ('1970s', 4), ('classic rock', 4), ('europop', 4), ('fun', 3), ('scandinavian', 3), ('feel good', 3), (""70's"", 3), ('schlager', 3), ('swedish pop', 2), ('female vocalist', 2), ('catchy', 2), ('favorites', 2), ('geography', 2), ('guilty pleasure', 2), ('poprock', 2), ('cheerful', 2), ('euro-pop', 2), ('upbeat', 2), ('performed on top of the pops', 2), ('english', 2), ('female vocal', 2), ('agnetha', 1), ('napoleon', 1), ('favorite by this group', 1), ('attitude', 1), ('vocalization', 1), ('77davez-all-tracks', 1), ('workout', 1), ('history', 1), ('fleetwood mac', 1), ('groovy', 1), ('coy', 1), ('influential', 1), ('bad stream', 1), ('favourites', 1), ('pop rock', 1), ('top 40', 1), ('rockpop', 1), ('gold', 1), ('driving', 1), ('cheesy', 1), ('700', 1), ('marchosa', 1), ('eurovision 1974', 1), ('70s pop', 1), ('swedish artist', 1), ('gute laune', 1), ('abba- waterloo', 1), ('esc', 1), ('uk number one', 0), ('70er', 0), ('eur74', 0), ('places', 0), ('70', 0), ('first track', 0), ('fitness', 0), ('good music for vacuuming dusting and ironing', 0), ('allgemein', 0), ('top artists', 0), ('sing-along', 0), ('uptempo', 0), ('mother', 0), ('pop-rock', 0), ('acclaimed music top 3000', 0), ('singer-songwriter', 0), ('soft', 0), ('electronic', 0), ('soundtrack', 0), ('classic', 0), ('guilty pleasures', 0), ('danceable', 0), ('piano', 0), ('synthpop', 0), ('easy listening', 0), ('soft rock', 0), ('piano pop', 0), ('zweeds', 0), ('kivoja', 0), ('rauhoittavia', 0), ('the loft - love saves the day', 0), ('fon', 0)]"
The Album,"[('melancholy', 4), ('bittersweet', 2)]","[('pop', 100), ('70s', 57), ('abba', 52), ('swedish', 35), ('disco', 33), ('female vocalists', 17), ('oldies', 16), ('dance', 12), ('80s', 12), ('rock', 11), ('europop', 7), ('1977', 5), ('electronic', 5), ('sweden', 4), ('1970s', 4), ('melancholy', 4), ('singer-songwriter', 4), ('poprock', 4), ('euro-pop', 3), ('70s and early 80s music', 3), ('favorite by this group', 2), ('lyricism', 2), ('romantic tension', 2), ('guilty pleasure', 2), ('abba the name of the game', 2), ('real', 2), ('the album', 2), ('90s', 2), ('top 40', 2), ('love song', 2), ('cool', 2), ('groovy', 2), ('bittersweet', 2), ('female vocalist', 2), ('uk number one', 1), ('00s', 1), ('all time favourite songs', 1), ('retro', 1), ('2006', 1), ('top1000', 1), ('eurodance', 1), ('f', 1), ('18 hits', 1), ('beyond awesome', 1), ('catchy', 1), ('dance-pop', 1), ('seventies', 1), ('gold - greatest hits', 1), ('nice', 1), ('sweet and innocent', 1), (""70's"", 1), ('love', 1), ('name of the game', 1), ('gran interpretacion de frida', 1), ('the name of the game - abba', 1), ('downtempo', 1), ('scandinavian', 1), ('77davez-all-tracks', 1), ('mushy', 1), ('favorites', 1), ('rockpop', 1), ('beautiful', 1), ('favourites', 1), ('the movie', 1), (""1970's"", 1), ('songs to fall in love to', 1), ('1992', 1), ('guilty pleasures', 1), ('top 2000', 1), ('abba-esque', 0), ('lugnt06', 0), ('superhit', 0), ('bads faves', 0), ('power voice', 0), ('great singing blondes', 0), (""grey's anatomy"", 0), ('official uk chart number 1', 0), ('agnetha', 0), ('abbaesque', 0), ('sophistipop', 0), ('uk gold', 0), ('a haunting beautiful song', 0), ('tom84', 0), ('gittis', 0), ('camptastic', 0), ('bonum discovers', 0), ('svensk musik', 0), ('lammis', 0), ('most loved', 0), ('mitsinger', 0), ('grossartig', 0), ('ex-love', 0), ('autofahren', 0), ('surgery', 0), ('fluent perfection', 0), ('sgn playlist', 0), ('sing to this', 0), ('sgn70s', 0), ('colin64', 0), ('gugma', 0)]"
The Complete Singles Collection,"[('romantic', 6), ('melancholy', 2), ('party', 1)]","[('pop', 100), ('70s', 66), ('abba', 60), ('disco', 40), ('swedish', 32), ('oldies', 13), ('dance', 11), ('female vocalists', 9), ('1979', 7), ('80s', 6), ('rock', 6), ('romantic', 6), ('queer as folk', 5), ('sweden', 4), ('chiquitita', 3), ('europop', 3), ('bad stream', 3), ('scandinavian', 3), ('spanish', 2), ('favorite by this group', 2), ('70s pop', 2), ('female vocals', 2), ('catchy', 2), ('lush', 2), ('top artists', 2), ('influential', 2), ('1970s', 2), ('77davez-all-tracks', 2), ('pretty', 2), ('emotive', 2), ('affirming', 2), ('melancholy', 2), ('dance-pop', 1), ('i love this songs', 1), ('easy listening', 1), ('top 40', 1), ('nostalgia', 1), ('beautiful melodies', 1), ('kikkelis kokkelis', 1), ('soft rock', 1), ('mudog-children', 1), ('poprock', 1), ('abba - chiquitita', 1), ('qaf', 1), ('mudog-cc', 1), (""70's"", 1), ('top 2000', 1), ('best', 1), ('seventies', 1), ('beloved disco', 1), ('the best', 1), ('guilty pleasure', 1), ('memory of family', 1), ('deutsche schlager', 1), ('acoustic guitar riffs', 1), ('disco pop', 1), ('chorus', 1), ('sugary', 1), ('voulez vous', 1), ('close harmony', 1), ('mushy', 1), ('uplifting', 1), ('love', 1), ('close to my heart', 1), ('classic', 1), ('electronic', 1), ('safmacsweeney', 1), ('beelloved', 1), ('downtempo', 1), (""1970's"", 1), ('party', 1), ('favorites', 1), ('english', 1), ('beautiful', 1), ('live', 1), ('female', 1), ('fleetwood mac', 1), ('paco', 1), ('ballad', 1), ('70s blockbusters', 1), ('flya mainstream', 0), ('my 500 essential songs', 0), ('interweaving vocal harmony', 0), ('70s and 80s music', 0), ('among favorites', 0), ('legal drug', 0), ('sing to this', 0), ('abba-esque', 0), ('70s englisch', 0), ('siempre', 0), ('georges diner', 0), ('ladytronica', 0), ('mixed acoustic and electric instrumentation', 0), ('new playlist fm', 0), ('raul seixas', 0), ('80 hit', 0), ('acoustic rhythm guitars', 0), ('curtis119', 0), ('sooz 70s', 0), ('paired vocal harmony', 0)]"
Thank You For The Music,"[('depressing', 3)]","[('pop', 100), ('80s', 25), ('affirming', 22), ('favorite by this group', 22), ('pretty', 22), ('emotive', 22), ('influential', 22), ('live', 22), ('swedish', 22), ('vocalization', 22), ('rock', 22), ('abba', 19), ('world', 6), ('close harmony', 3), ('abba faves', 3), ('chrissy', 3), ('rockpop', 3), ('accordeon', 3), ('best lyrics', 3), ('friends', 3), ('swedish pop', 3), ('disco', 3), ('oldies', 3), ('female vocalists', 3), ('depressing', 3), ('dance', 3), ('folk', 3), ('love', 3), ('1980', 0), ('70s', 0), ('classic soul', 0), ('top artists', 0), ('among favorites', 0), ('lugntv', 0), ('the way old friends do', 0), ('lx-', 0)]"
How To Be A... Zillionaire!,"[('relaxing', 4)]","[('80s', 100), ('new wave', 75), ('synthpop', 29), ('pop', 25), ('new romantic', 16), ('abc', 16), ('rock', 12), ('british', 12), ('all time faves', 8), ('the word millionaire', 8), ('i love the 80s', 8), ('class struggle', 8), ('quitar', 8), ('1980s', 8), ('another planet', 8), ('1984', 8), ('random songs', 8), ('abc -how to be a millionaire', 8), ('blingtacular', 8), ('positive', 8), ('synth pop', 8), ('cheesy goodness', 8), ('upbeat', 8), ('party monster', 8), ('classic', 8), ('eighties', 8), ('the word how', 4), ('the word to', 4), ('synth rock arranging', 4), ('the subtle use of a horn section', 4), ('a distinctive male lead vocal', 4), ('vice city stories', 4), ('disco influences', 4), ('prominent use of synth', 4), ('synthetic sonority', 4), ('repetitive melodic phrasing', 4), ('the word be', 4), ('80s british', 4), ('the word million', 4), ('ploeg', 4), ('popender-b0lzen', 4), ('if this song were a pokemon i would catch it', 4), ('i want back to the 80s', 4), ('rainbowfreezepoppers', 4), ('fgmgstranders07', 4), ('ca pique les yeux', 4), ('grand thef auto: vice city stories', 4), ('omijac - stary tego slucha', 4), ('kroq 1985', 4), ('macauley culkin', 4), ('77davez-all-tracks', 4), ('uplifting', 4), ('electronic', 4), ('good', 4), ('relaxing', 4), ('bubblegum', 4), ('synth-pop', 4), ('money', 4), ('orgasmic', 4), (""80's"", 4), ('devo', 4), ('kroq', 4), ('can', 4), ('vocal harmonies', 4), ('mild rhythmic syncopation', 4), ('groove based composition', 4), ('how to be a millionaire', 4), ('minor key tonality', 4), ('electronica influences', 4), ('davidbowie', 4), (""1980's"", 4), ('ric ocasek', 4), ('telex', 4), ('dance', 0), ('1986', 0), ('top 40', 0), ('hear this', 0), ('gtavcs tracks', 0), ('friendsofthekingofrummelpop', 0), ('1st wave', 0), ('music', 0), ('working music', 0), ('new wave 80s', 0)]"
Gibraltar,nan,"[('hip-hop', 100), ('slam', 100), ('rap', 50), ('jazzy slam', 50), ('gd corps malade', 50), ('francophone', 25), ('luv it', 25), ('international sound', 25), ('french', 0), ('french rap', 0), ('male vocalist', 0), ('gilles peterson', 0), ('flow', 0)]"
Young Forever,nan,"[('indie', 100), ('easy listening', 50), ('acoustic', 50), ('pop', 50), ('scottish', 50), ('glasgow', 50), ('scotland', 50), ('00s', 50), ('male vocalists', 50), ('moving on', 50), ('chimes', 50), ('guitarro', 50), ('altparty', 50)]"
Engineering The Dead,nan,"[('death metal', 100), ('brutal death metal', 50), ('metal', 41), ('grindcore', 25), ('aborted', 8), ('marvelous', 8), ('brutal deth metal', 8), ('dandan', 8), ('misc', 0)]"
Slaughter & Apparatus: A Methodical Overture,nan,"[('death metal', 100), ('brutal death metal', 66), ('metal', 33)]"
Generator,nan,"[('industrial black metal', 100), ('black metal', 54), ('industrial metal', 27), ('metal', 18), ('industrial', 18), ('symphonic metal', 9), ('symphonic black metal', 9), ('cyber metal', 9), ('cyber black metal', 9), ('space age', 0), ('epicly sinister', 0)]"
